                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.56617,                0.34392,                0.91075,                0.98414,                0.95172,                0.98496,                0.80027,                0.71849,                0.33509,                0.93227,               0.000614,               0.000614,               0.000614
                     37,                0.57781,                0.34402,                0.91292,                 0.9678,                0.96741,                0.98636,                0.86813,                0.54049,                0.29488,                0.87638,              0.0005744,              0.0005744,              0.0005744
                     38,                0.55743,                0.33479,                0.90887,                0.97498,                0.96322,                 0.9906,                0.86163,                0.55638,                0.28576,                0.87435,              0.0005348,              0.0005348,              0.0005348
                     39,                0.56481,                 0.3312,                  0.909,                0.96784,                0.96867,                0.98715,                0.84627,                0.57736,                0.29968,                0.88607,              0.0004952,              0.0004952,              0.0004952
                     40,                0.55233,                0.32911,                0.90786,                0.99046,                0.95484,                0.98763,                0.87397,                0.53127,                0.27815,                0.86658,              0.0004556,              0.0004556,              0.0004556
                     41,                0.50721,                0.28274,                0.86214,                0.96143,                0.97405,                0.98987,                0.86301,                0.54915,                 0.2831,                0.88077,               0.000416,               0.000416,               0.000416
                     42,                0.49718,                0.27241,                0.85865,                0.97559,                0.96552,                0.98996,                0.88041,                0.50735,                0.27496,                 0.8636,              0.0003764,              0.0003764,              0.0003764
                     43,                0.49021,                0.26896,                0.85835,                0.98065,                0.96782,                0.98711,                0.87739,                0.52152,                 0.2748,                0.86458,              0.0003368,              0.0003368,              0.0003368
                     44,                0.48157,                0.26318,                0.85572,                 0.9799,                0.96322,                0.98701,                0.86441,                0.54507,                0.27468,                0.87288,              0.0002972,              0.0002972,              0.0002972
                     45,                0.47176,                0.25892,                0.85276,                 0.9836,                0.96515,                0.98869,                0.86676,                0.53527,                0.26577,                0.87121,              0.0002576,              0.0002576,              0.0002576
                     46,                0.45766,                0.25152,                0.84376,                0.98058,                0.95402,                0.98801,                0.85806,                0.57206,                0.27365,                0.88274,               0.000218,               0.000218,               0.000218
                     47,                0.45026,                0.24676,                0.84575,                0.97463,                0.97143,                0.98959,                0.87863,                0.52335,                0.25899,                0.86399,              0.0001784,              0.0001784,              0.0001784
                     48,                0.44681,                0.24168,                0.84391,                0.97015,                0.97122,                0.99107,                0.88488,                0.49926,                0.25145,                0.85728,              0.0001388,              0.0001388,              0.0001388
                     49,                0.43376,                0.23699,                0.83898,                0.97896,                0.96265,                0.99109,                 0.8831,                0.51018,                0.25493,                 0.8592,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.42796,                 0.2333,                0.83699,                0.97297,                0.96782,                0.99069,                0.88272,                0.49854,                 0.2515,                0.85681,               5.96e-05,               5.96e-05,               5.96e-05
