                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.58127,                0.34921,                  0.913,                0.97654,                 0.9568,                0.98213,                0.85521,                 0.5233,                0.28624,                0.86345,               0.000614,               0.000614,               0.000614
                     37,                0.58078,                0.34599,                0.91057,                0.97763,                0.96322,                0.98479,                0.84691,                0.57805,                0.28261,                  0.885,              0.0005744,              0.0005744,              0.0005744
                     38,                0.56322,                0.33602,                0.90347,                0.97605,                0.96092,                0.98279,                0.85412,                0.52345,                0.27985,                0.86975,              0.0005348,              0.0005348,              0.0005348
                     39,                0.56486,                0.33235,                 0.9046,                 0.9771,                0.95632,                0.98559,                0.87336,                0.50995,                0.27419,                0.85979,              0.0004952,              0.0004952,              0.0004952
                     40,                0.56627,                0.34009,                0.90842,                0.98124,                0.96216,                0.99013,                0.86508,                0.52372,                0.27578,                   0.86,              0.0004556,              0.0004556,              0.0004556
                     41,                0.51583,                0.28227,                0.86025,                0.97771,                0.97011,                0.98429,                  0.844,                0.56493,                0.28923,                0.87833,               0.000416,               0.000416,               0.000416
                     42,                0.50198,                0.27904,                0.85571,                0.97011,                0.97011,                0.98852,                0.86649,                0.51348,                0.27679,                0.86478,              0.0003764,              0.0003764,              0.0003764
                     43,                0.50511,                0.27873,                0.86018,                0.98065,                0.95862,                0.98541,                0.87817,                0.49878,                0.26902,                0.85596,              0.0003368,              0.0003368,              0.0003368
                     44,                 0.4912,                0.27137,                0.85544,                0.98585,                0.96087,                0.98974,                0.87254,                0.50841,                 0.2686,                0.86238,              0.0002972,              0.0002972,              0.0002972
                     45,                0.47688,                0.26266,                0.85036,                0.97455,                0.96842,                0.98708,                0.85172,                0.56008,                 0.2792,                 0.8779,              0.0002576,              0.0002576,              0.0002576
                     46,                0.47791,                0.25976,                0.84993,                0.97452,                0.96723,                0.98956,                0.87691,                0.48529,                0.25402,                0.84942,               0.000218,               0.000218,               0.000218
                     47,                0.46349,                0.25594,                0.84878,                0.97488,                0.96782,                0.98487,                0.87331,                0.49494,                0.25919,                0.85399,              0.0001784,              0.0001784,              0.0001784
                     48,                0.45379,                0.24831,                0.84062,                0.97677,                0.96644,                0.99043,                0.87998,                0.48465,                0.25541,                0.84752,              0.0001388,              0.0001388,              0.0001388
                     49,                0.44817,                0.24515,                0.83947,                 0.9746,                0.97013,                 0.9905,                0.86842,                0.51999,                0.26133,                0.86349,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.44063,                 0.2391,                0.83983,                0.97759,                0.97011,                0.99038,                0.87888,                0.49327,                0.25339,                0.85368,               5.96e-05,               5.96e-05,               5.96e-05
